port_id,port_name
port18,Hudaydah (Hodeidah)
port2148,Hvalfjordur
port1047,Ilo
port2055,Iloilo
fso82,India - Offshore Oil Terminal 1
fso83,India - Offshore Oil Terminal 2
fso84,India - Offshore Oil Terminal 3
fso85,India - Offshore Oil Terminal 4
fso86,Indonesia - Offshore Oil Terminal 1
fso87,Indonesia - Offshore Oil Terminal 10
fso88,Indonesia - Offshore Oil Terminal 11
fso89,Indonesia - Offshore Oil Terminal 12
fso90,Indonesia - Offshore Oil Terminal 13
fso91,Indonesia - Offshore Oil Terminal 14
fso92,Indonesia - Offshore Oil Terminal 15
fso93,Indonesia - Offshore Oil Terminal 2
fso94,Indonesia - Offshore Oil Terminal 3
fso95,Indonesia - Offshore Oil Terminal 4
fso96,Indonesia - Offshore Oil Terminal 5
fso97,Indonesia - Offshore Oil Terminal 6
fso98,Indonesia - Offshore Oil Terminal 7
fso99,Indonesia - Offshore Oil Terminal 8
fso100,Indonesia - Offshore Oil Terminal 9
port2207,Isabel
fso101,Israel - Offshore Oil Terminal 1
port2099,Itacoatiara
fso102,Italy - Offshore Oil Terminal 1
fso103,Italy - Offshore Oil Terminal 2
port2035,Itapoa
port2001,Izmail
fso104,Jamaica - Offshore Oil Terminal 1
port2074,Jazan
port2236,Jebel Dhanna
port2021,Jiaxing
port2185,Jinhae
port2253,Kalama
port2144,Kali Limenes
port2176,Kanokawa
port2153,Karimun
port2056,Karumba
port2151,Karwar
port2038,Kattupalli
port2250,Key West
port2012,Khalifa Bin Salman
port2025,Khalifa Port
port2164,Kharg Island
port2004,Kherson
port2161,Kijing
port2190,Kimanis
port2031,King Abdullah Port
port2180,Kinwan
port2089,Kirkcaldy
port2199,Kirkenes
port2073,Kismayo
port1378,Kitakyushu (Wakamatsu)
port207,Kolkata (Syama Prasad Mookerje Port)
port2159,Kuala Tanjung
port2191,Kunak
port2203,La Pampilla
port2126,La Romana
port2261,La Salina
port1197,Laem Chabang
port2226,Landskrona
port2024,Larne
port2058,Launceston
port2165,Lavan
port2142,Lavrion
port2102,Lewisporte
fso105,Libya - Offshore Oil Terminal 1
port2100,Limboh
port2243,Loch Striven
port2115,Luanjiakou
port2083,Lughughi
port2118,Luoyuan
port2117,Lushun
port2163,Luwuk
port2242,Macduff
port2222,Mahon
port1336,Makassar
port1006,Malamocco
fso106,Malaysia - Offshore Oil Terminal 1
fso107,Malaysia - Offshore Oil Terminal 10
fso108,Malaysia - Offshore Oil Terminal 11
fso109,Malaysia - Offshore Oil Terminal 12
fso110,Malaysia - Offshore Oil Terminal 13
fso111,Malaysia - Offshore Oil Terminal 14
fso112,Malaysia - Offshore Oil Terminal 15
fso113,Malaysia - Offshore Oil Terminal 16
fso114,Malaysia - Offshore Oil Terminal 17
fso115,Malaysia - Offshore Oil Terminal 18
fso116,Malaysia - Offshore Oil Terminal 2
fso117,Malaysia - Offshore Oil Terminal 3
fso118,Malaysia - Offshore Oil Terminal 4
fso119,Malaysia - Offshore Oil Terminal 5
fso120,Malaysia - Offshore Oil Terminal 6
fso121,Malaysia - Offshore Oil Terminal 7
fso122,Malaysia - Offshore Oil Terminal 8
fso123,Malaysia - Offshore Oil Terminal 9
port2255,Manchester
port2213,Mangalia
port2252,Marcus Hook
port1393,Marsden Point
fso124,Mauritania - Offshore Oil Terminal 1
port2028,Mawan
port2059,Melilla
port2091,Methil
fso125,Mexico - Offshore Oil Terminal 1
port2060,Mina Salman
port223,Moa
port2017,Moji
port2109,Mokha
port2184,Mokpo
port2205,Mollendo
port2220,Mossel Bay
port2061,Mourilyan
fso126,Mozambique - Offshore Oil Terminal 1
port2232,Mtwara
port2154,Muntok
port2178,Mutsure
port2082,Nabouwalu
port2040,Naha
port2177,Nakagusukuwan
port2174,Namikata
port2062,Nanaimo
port2020,Nanjing
fso127,New Zealand - Offshore Oil Terminal 1
port2063,Ngqura
fso128,Nigeria - Offshore Oil Terminal 1
fso129,Nigeria - Offshore Oil Terminal 10
fso130,Nigeria - Offshore Oil Terminal 11
fso131,Nigeria - Offshore Oil Terminal 12
fso132,Nigeria - Offshore Oil Terminal 13
fso133,Nigeria - Offshore Oil Terminal 14
fso134,Nigeria - Offshore Oil Terminal 15
fso135,Nigeria - Offshore Oil Terminal 16
fso136,Nigeria - Offshore Oil Terminal 17
fso137,Nigeria - Offshore Oil Terminal 18
fso138,Nigeria - Offshore Oil Terminal 2
fso139,Nigeria - Offshore Oil Terminal 3
fso140,Nigeria - Offshore Oil Terminal 4
fso141,Nigeria - Offshore Oil Terminal 5
fso142,Nigeria - Offshore Oil Terminal 6
fso143,Nigeria - Offshore Oil Terminal 7
fso144,Nigeria - Offshore Oil Terminal 8
fso145,Nigeria - Offshore Oil Terminal 9
port2251,Nikiski
port2064,Nordenham
fso146,Norway - Offshore Oil Terminal 1
fso147,Norway - Offshore Oil Terminal 2
fso148,Norway - Offshore Oil Terminal 3
fso149,Norway - Offshore Oil Terminal 4
fso150,Norway - Offshore Oil Terminal 5
port2258,Nueva Palmira
port2183,Okpo (Geoje)
port2065,Okrika
port2003,Olvia
port2041,Omaezaki
fso151,Oman - Offshore Oil Terminal 1
port1007,Oristano
port2075,Orkney
port2011,Otago
port2182,Owase
port2141,Pachi
port2156,Padang
port1008,Palermo
port1431,Palma de Mallorca
port1044,Pasajes
port1010,Pecem
port1062,Penang
port2189,Pengerang
port2216,Petropavlovsk-Kamchatskiy
fso152,Philippines - Offshore Oil Terminal 1
port1013,Piombino
port2202,Pisco (General San Martin)
port1419,Pivdennyi
port2101,Point Tupper
port2212,Ponce
port2152,Port Blair
port161,Port Botany
port2172,Port Kaiser
port192,Port Said
port1164,Port of Sabah
port1221,Port of Saint John's
port2072,Port of Skadovsk
port2066,Port of Virginia
port2033,Port of Yeosu
port1000,Porto De Maceio
port1002,Porto De Suape
port1005,Porto Di Lido-Venezia
port1009,Porto Grande
port2211,Porto Santo
port1011,Porto Torres
port2045,Porto de Itaguai
port166,Porto do Acu
port1012,Portocel
port1014,Portsmouth Harbour
port2032,Posorja
port1016,Poti
port1017,Pozzuoli
port1018,Praia da Vitoria
port1019,Presque Isle
port1020,Primorsk
port1021,Prince Rupert
port1022,Probolinggo
port1023,Progreso
port1024,Providence
port1025,Providenciales
port2146,Psakhna
port1159,Puerto Barrios
port1027,Puerto Bolivar
port1028,Puerto Bolivar
port1029,Puerto Cabello
port1030,Puerto Cabezas
port1031,Puerto Caldera
port1032,Puerto Caldera
port1033,Puerto Castilla
port1034,Puerto Chanaral
port1036,Puerto Cortes
port1037,Puerto Cristobal
port1046,Puerto Del Rosario
port1049,Puerto La Cruz
port2013,Puerto Limon
port1050,Puerto Madryn
port1051,Puerto Miranda
port1052,Puerto Moin
port1053,Puerto Montt
port1054,Puerto Nuevo
port1055,Puerto Plata
port1056,Puerto Princesa
port1057,Puerto Quetzal
port1058,Puerto San Antonio
port2196,Puerto Sandino
port2128,Puerto Viejo
port1060,Puerto Yabucoa
port2123,Pula
port2110,Pulandian
port1061,Pulau Baai
port2158,Pulau Sambu
port1432,Punta Arenas
port1063,Punta Cardón
port1064,Punta Lobitos
port2094,Punta Loyola
port2121,Punta Morales
port2257,Punta Pereira
port1066,Put Put
port1067,Pyeongtaek
port1068,Qalhat LNG Terminal
port2030,Qianhai Bay
port1069,Qingdao Port
port1072,Qinhuangdao
port1071,Qinzhou
port1073,Qiwei
port1074,Quanzhou
port1075,Quebec
port1077,Quequén
port2111,Qushan Island
port1078,Quy Nhon
port1079,Raahe
port1080,Rabaul
port1081,Rabigh
port1082,Rada De Arica
port2047,Rades (La Goulette)
port1085,Randers
port1089,Ras Al Khafji
port2217,Ras Al Khafji
port1088,Ras Al Mishab
port2130,Ras Gharib
port2245,Ras Isa Terminal
port1090,Ras Laffan
port21,Ras Lanuf (Al Burayqah)
port2132,Ras Shukheir
port1091,Ras Tanura
port1092,Rauma
port1004,Ravenna
port1093,Rayong
port1094,Recife
port2002,Reni
port2084,Rennell Island
fso153,Republic of Congo - Offshore Oil Terminal 1
fso154,Republic of Congo - Offshore Oil Terminal 2
fso155,Republic of Congo - Offshore Oil Terminal 3
fso180,Republic of Congo - Offshore Oil Terminal 4
port1096,Rethymnon
port1098,Reykjavík
port1099,Richards Bay
port1100,Riga
port1101,Rijeka
port2080,Ringgi
port1102,Rio Bueno
port1103,Rio De Janeiro
port1104,Rio Grande
port1105,Rizhao
port1106,Road Harbor
port2248,Rodeo
port2092,Romano
port2008,Romportmet
port2018,Ronne
port2093,Rosales
port1108,Rosario
port1109,Rosarito
port1110,Roseau
port2022,Rosslare
port1111,Rostock
port1112,Rostov-Na-Donu
port2088,Rosyth
port1113,Rota
port2221,Rota
port1114,Rotterdam
port1116,Rumoi
port2134,Runavik
fso156,Russian Federation - Offshore Oil Terminal 1
fso157,Russian Federation - Offshore Oil Terminal 2
port1107,Rørvik
port2157,Sabang
port2215,Sabetta
port191,Safaga
port1118,Safi
port1119,Saganoseki
port1120,Sagunto
port1291,Saigon
port2181,Saiki
port1223,Saint George's
port1219,Saint John
port1220,Saint John's
port1150,Saint Petersburg
port1123,Saint-Laurent-du-Maroni
port1124,Saint-Malo
port1125,Saint-Marc
port1126,Saipan
port1127,Sakai
port1128,Sakai-Semboku
port1129,Sakaide
port1130,Sakata
port1131,Sal Rei
port1132,Salaverry
port1133,Saldanha Bay
port1135,Salerno
port2219,Salif
port1136,Salina Cruz
port1137,Samarinda
port1138,Sampit
port1139,Samsun
port2223,San Ciprian
port1140,San Diego
port1141,San Francisco
port1142,San Giorgio
port1143,San Juan
port1043,San Lorenzo (Henecan)
port1059,San Martin
port1144,San Miguel De Cozumel
port1145,San Nicolas
port2147,San Nicolas
port1146,San Pedro
port1147,San Pedro De Macoris
